#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
EVTOPTA_RIRSEI_898989;Long live Rex Hispaniorum !;Vive le Rex Hispaniorum !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_909090;Kingdom of the Britons;Royaume des Bretons;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_909090;Since the invasion of the Anglo-Saxons and Normans, the old title of Rex Britonnum, King of the Britons, fell into decay. But the return of a Celtic dynasty to the throne of England helped resurrect the old customs. Now a king rule over the Britannia !;Depuis l'invasion des Anglo-saxons et des Normands, le vieux titre de Rex Britonnum, roi des Bretons, est tombé dans la déchéance. Mais le retour d'une dynastie celte au trône de l'Angleterre a permis de ressuciter les vieilles coutumes. Désormais, un roi règne sur la Britannia !;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_909090;Long live the Rex Britonnum; Vive le Rex Britonnum !;;;;;;;;;;x;;;;;;;;;;
royaume_bretwalda;Wear the title of king of the Britons;Porter le titre de roi des Bretons;;;;;;;;;;x;;;;;;;;;;
royaume_bretwalda_desc;A Celt dynasty reigns over the Anglo-Saxons. It is time to conduct the restoration of Britannia ! ;Une dynastie celte règne sur les Anglo-saxons. Il est temps de mener la restauration de la Britannia à son terme !;;;;;;;;;;x;;;;;;;;;;
const_venise;Make Constantinople our capital;Faire de Constantinople notre capitale;;;;;;x;;;;;;;;;;;;;;
const_venise_desc;The Republic has captured Constantinople ! Venice is a land of the East Empire, but we now control the Empire’s capital and its seat of power. Some wish to govern the Republic from the magnificent city of Constantine, but they will have to be very persuasive to garner the support of the Senate…;La République s'est emparé de Constantinople ! Venise est terre d'Empire d'Orient, mais nous possédons le centre du pouvoir de l'Empire d'Orient. Certains veulent transférer le siège de la République dans l'illustre ville de Constantin ! Mais il va falloir se montrer très persuasif pour arracher un vote positif du Sénat...;;;;;;;x;;;;;;;;;;;;;
venice_capital;Shifts the capital of the Republic to Constantinople;Transfère la capitale de la République à Constantinople;;;;;x;;;;;;;;;;;;;;;
emp_latin_venise;Usurp the Eastern Roman Empire;Usurper l'Empire d'Orient;;;x;;;;;;;;;;;;;;;;;
emp_latin_venise_desc;After having moved our capital to Constantinople, the Republic grew stronger while the Greek Emperor failed to establish a solid hold on Romania lands. How could God favor an emperor who does not follow the precepts of the Catholic Church ? In days of yore, some emperors like Nerva or Pertinax were elected by the Roman Senate. The Senate will need a lot of « convincing » if they should accept the Doux as Imperator !;Après avoir transféré notre capitale à Constantinople, le pouvoir de la République s'est agrandi alors que l'empereur des Grecs n'a pas réussi à reprendre pied sur nos terres de Romanie. Comment Dieu pourrait-il favoriser un empereur qui n'est pas catholique ? De plus, certains empereurs, comme Pertinax ou Nerva furent élus par le Sénat romain. Certes, il faudra montrer beaucoup de "persuasion" pour que le Sénat de Constantinople accepte de reconnaître le Doux comme Imperator !;;;x;;;;;;;;;;;;;;;;;
emp_latin_autres;Usurp the Eastern Roman Empire;Usurper l'Empire d'Orient;;;x;;;;;;;;;;;;;;;;;
emp_latin_autres_desc;In one way or another, Romania has fallen in our hands. This is an undeniable sign that God disowned the Greek orthodox and that he has given us these lands. Let us now, by the grace of God, take the Eastern Imperial Crown and establish the Imperium Romaniae.;D'une façon ou d'une autre, la Romanie est tombée entre nos mains. C'est un signe qui montre que Dieu désavoue les grecs orthodoxes et il a nous a confié ces terres. Arrachons la couronne impériale d'Orient et proclamons l'Imperium Romaniae;;;x;;;;;;;;;;;;;;;;;
EVTNAME_RIRSEI_919191;Imperium Romaniae;Imperium Romaniae;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_919191;The empire of the Greeks is weak or destroyed but Catholics control Romania and Constantinople by our Lord’s grace. Let us continue to obey His wish by proclaiming ourselves Imperator Orientali, Eastern Roman Emperor and Protector of the true Faith, an equal to the Western Emperor !;L'Empire des Grecs est faible ou détruit mais des catholiques tiennent fermement la Romanie et Constantinople. Ce fut la volonté de notre Seigneur de nous avoir donné la maîtrise de ces terres. Continuons à obéir à Sa volonté en se proclamant Imperator Orientali, Empereur d'Orient et de Romanie, égal de l'Empereur d'Occident, protecteur de la vraie foi !;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_919191;Glory to the Imperium Romaniae !; Vive l'Imperium Romaniae !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_929292;Imperium Romaniae;Imperium Romaniae;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_929292;The empire of the Greeks is weak or destroyed but Catholics control Romania and Constantinople by our Lord’s grace. Let us continue to obey His wish by proclaiming ourselves Imperator Orientali, Eastern Roman Emperor and Protector of the true Faith, an equal to the Western Emperor !;L'Empire des Grecs est faible ou détruit mais des catholiques tiennent fermement la Romanie et Constantinople. Ce fut la volonté de notre Seigneur de nous avoir donné la maîtrise de ces terres. Continuons à obéir à Sa volonté en se proclamant Imperator Orientali, Empereur d'Orient et de Romanie, égal de l'Empereur d'Occident, protecteur de la vraie foi !;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_929292;Glory to the Imperium Romaniae !; Vive l'Imperium Romaniae !;;;;;;;;;;x;;;;;;;;;;
emp_latin_dejure;Claim the entirety of the Eastern Roman Empire;Revendiquer l'ensemble de l'Empire d'Orient;;;;;;;;x;;;;;;;;;;;;
emp_latin_dejure_desc;Even if we posess the imperial title, local peasants and even our Holy Father do not recognise us as the legitimate Eastern Roman Empire. We will have to crush other pretenders to the throne, may they be Serbs, Greeks or Bulgars…;Même si nous portons le titre impérial, les populations locales, et même le Saint-Père ne nous reconnaissent pas vraiment comme le légitime Empereur d'Orient. Il faut pour cela écraser les autres prétendants au titre impérial, qu'ils soient serbes, grecs ou bulgares;;;;;;;;x;;;;;;;;;;;;
restore_roman_empire_latin;Claim the Roman Empire;Revendiquer l'Empire romain;;;;;;x;;;;;;;;;;;;;;
restore_roman_empire_latin_desc;By asserting our control over several historical sites of the Roman Empire, it is possible to fully reclaim its heritage.;En s'emparant de plusieurs lieux historiques de l'ancien empire romain, il est possible d'en réclamer totalement son héritage;;;;;;x;;;;;;;;;;;;;;
EVTNAME_RIRSEI_939393;The Second Roman Era;Le Second Âge de Rome;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_939393;If some denounced our glorious ancestor as a pretender when he snatched the Eastern Imperial Crown from the Greeks, they would not have imagined that his decendants would restore the former glory of the Empire. Yes, we now guide Christendom! May the honour and glory of the ancient Romans, from Constantine to Charlemagne, be upon us !; Si certains ont pu traiter notre illustre aieul de parvenu lorsqu'il s'empara de la couronne impériale d'Orient aux mains des Grecs, ils étaient loin d'imaginer que c'était ses descendants qui restaurerait l'Empire dans toute sa dignité ! Oui, nous guidons désormais la chrétienté ! En avant, maintenant, que la gloire et l'honneur des anciens Romains, de Constantin et de Charlemagne nous accompagnent !;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_939393;Esto perpetua !; Esto perpetua !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_949494;The Second Roman Era;Le Second Âge de Rome;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_949494;If some of us considered the Catholic monarch who usurped the Eastern Imperial crown as a baseless pretender, we were far from imagining that they would restore the Empire in all its former glory ! They now guide Christendom and claim all the prerogatives that Rome once enjoyed.; Si certains d'entre nous ont considéré le monarque catholique qui usurpa la couronne impériale d'Orient comme un parvenu, nous étions loin d'imaginer que c'était ses descendants qui restaureraient l'Empire dans toute sa dignité ! Ils guident désormais la chrétienté et réclament toutes les prérogatives de l'Empire romain.;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_949494;Is this possible ?;Est-ce possible ?;;;;;;;;;;x;;;;;;;;;;
EVTOPTB_RIRSEI_949494;Umm… am I not the Emperor of the Romans ?; Heu...c'est pas moi l'empereur des Romains ?;;;;;;;;;;x;;;;;;;;;;
restore_roman_empire_hre_deux;Claim the Roman Empire;Revendiquer l'Empire romain;;;;;;;;x;;;;;;;;;;;;
restore_roman_empire_hre_deux_desc;In one way or another, the Eastern and Western Empires are united. To wholly restore the Empire, we must now assert our power over all of Europe;D'une manière ou d'une autre, les deux couronnes impériales d'Orient et d'Occident sont réunies. Pour restaurer totalement l'Empire romain, il faut affirmer notre pouvoir dans l'ensemble de l'Europe;;;;;;;;x;;;;;;;;;;;;
reclamersyrie;;Réclamer la Syrie-Palestine;;;;;;;;x;;;;;;;;;;;;
reclamersyrie_desc;;Nous ne contrôlons pas toute l'ancienne province de la Syrie-Palestine. C'est une honte pour le nom romain et nous nous devons d'exprimer clairement nos prétentions sur ces territoires;;;;;;;;x;;;;;;;;;;;;
reclameregypte;;Réclamer l'Egypte;;;;;;;;x;;;;;;;;;;;;
reclameregypte_desc;;L'Egypte fut le grenier à blé de l'Empire romain. Il est temps que ce grenier nous serve à nouveau;;;;;;;;x;;;;;;;;;;;;
reclamercyre;;Réclamer la Cyrénaïque;;;;;;;;x;;;;;;;;;;;;
reclamercyre_desc;;La Cyrénaïque fut romaine jusqu'à l'invasion des Mahométans. Il est temps de réclamer ce qu'il nous est du;;;;;;;;x;;;;;;;;;;;;
reclamerafrique;;Réclamer l'Afrique proconsulaire;;;;;;;;x;;;;;;;;;;;;
reclamerafrique_desc;;L'Afrique proconsulaire fut l'un des pivots de l'Empire romain d'Occident. Regagnons ces territoires !;;;;;;;;x;;;;;;;;;;;;
reclamerillyrie;;Réclamer l'Illyrie et la Pannonie;;;;;;;;x;;;;;;;;;;;;
reclamerillyrie_desc;;L'Illyrie et la Pannonie furent le réservoir de soldats de l'ancien Empire. Nos prétentions sur ces territoires doivent être renouvelleés;;;;;;;;x;;;;;;;;;;;;
reclamergaule;;Réclamer la Gaule;;;;;;;;x;;;;;;;;;;;;
reclamergaule_desc;;La Gaule échappe encore à l'Empire. Soyons digne de Jules César, et exprimons clairement nos prétentions;;;;;;;;x;;;;;;;;;;;;
reclamerbritannia;;Réclamer la Britannia;;;;;;;;x;;;;;;;;;;;;
reclamerbritannia_desc;;Ce sont les Romains qui apportèrent la civilisation à ces pays sauvages. Reprenons pied sur ces îles !;;;;;;;;x;;;;;;;;;;;;
reclamerhispania;;Réclamer l'Hispania;;;;;;;;x;;;;;;;;;;;;
reclamerhispania_desc;;L'Espagne ne peut se penser en dehors de l'Empire romain ! Il est temps d'exprimer nos prétentions sur ce territoire;;;;;;;;x;;;;;;;;;;;;
EVTNAME_RIRSEI_959595;The Dawn of a New Era;L'Aube d'une Ère nouvelle;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_959595;Friends, Romans, listen to me ! After having reunited the Eastern and Western thrones, the unified Empire has been able to stabilize itself and expand. We have in consequence now proclaimed the fusion of both pars imperii. Glory to the Christian and universal Roman Empire. With God’s grace, let us drive Christendom to its glorious destiny !; Amis, Romains, compatriotes, écoutez-moi ! Après que les couronnes impériales d'Orient et d'Occident ont échues à une seule et même personne, l'Empire ainsi réunifié a pu se consolider et s'étendre, de telle sorte que nous avons proclamé la fusion des deux pars imperii en une seule. Vive l'Empire romain, chrétien et universel ! En avant maintenant, assumons notre destin universel et guidons l'ensemble de la chrétienté vers la gloire éternelle !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_959595;Esto perpetua !;Esto perpetua !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_969696;A Second Roman Era;Le Second Âge de Rome;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_969696;Incredible ! After having reunited the Easter and Western thrones, the Roman Empire has proven remarkably stable. They can now be truly considered as the legitimate heirs of Rome. They might now press claims on former Roman territory…; Incroyable ! Après avoir réuni les deux couronnes d'Occident et d'Orient, l'Empire romain s'est consolidé de telle sorte qu'ils sont désormais les véritables successeurs des anciens Romains. Il est à craindre qu'ils réclament leurs anciens territoires !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_969696;Is this possible ?;Est-ce possible ?;;;;;;;;;x;;;;;;;;;;;
elec_menace;blou;L'Empereur désire abolir l'élection !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_989898;blou;L'Empereur menance le droit d'élection !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_989898;blou; L'Empereur a décidé que son successeur ne serait plus élu par les électeurs de l'Empire. C'est une atteinte grave à tous les véritables impériaux !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_989898;blou;Guerre !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_999999;blou;L'Empereur est revenu sur ses prétentions;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_999999;blou; L'Empereur actuel a enfin recouvré raison et il a proclamé que son successeur serait élu par les électeurs de l'Empire, conformément à la tradition;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_999999;blou; Ouf !;;;;;;;;;x;;;;;;;;;;;
Basileia_nova;Renew our claims on all the Eastern Roman territories;Renouveller nos prétentions sur tous les territoires romains d'Orient;;;;;;;x;;;;;;;;;;;;;
Basileia_nova_desc;If we can control all the lands that are traditionally recognized as romaios, a powerful and prestigious Basileus Autokratôr could establish a recovery plan to the Roman territories in Asia and Africa, unjustly held by Mahometants for too long;Si nous parvenons à maîtriser l'ensemble des terres qui nous sont traditionnellement reconnues, un Basileus Autocratôr puissant et prestigieux pourrait établir un plan de reconquête vers les territoires romains d'Asie et d'Afrique, injustement tenus par les Mahométants depuis trop longtemps;;;;;;;x;;;;;;;;;;;;;
EVTNAME_RIRSEI_111213;Politeia tôn Rhômaiôn !; Politeia tôn Rhômaiôn !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_111213;Praise be God, as the Empire of the Romans firmly holds all jurisdictions where we could have some pretensions. However, our power and prestige is such that it is time to seek other legitimate territories, long lost," since the Damaltie to Alexandria ". "The Politeia tôn Rhômaiôn", the Roman Republic, must recover the ancient provinces of Syria, Palestine, Egypt and Cyrenaica!;Loué soit Dieu, car l'Empire des Romains tient fermement tous les territoires où nous pouvions avoir quelques prétentions. Cependant, notre puissance et notre prestige sont tels qu'il est temps de réclamer d'autres territoires légitimes, depuis longtemps perdus, "depuis la Damaltie jusqu'à Alexandrie". La Politeia tôn Rhômaiôn, la République des romains, doit recouvrer les anciennes provinces de Syrie, de Palestine, d'Egypte et de Cyrénaïque !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_111213;The Basileus Autokratôr led the Roman people to glory!; Le Basileus Autocratôr conduit le peuple romain vers la gloire !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_121314;Politeia tôn Rhômaiôn; Politeia tôn Rhômaiôn;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_121314;May Allah grant us mercy! The Rumi singularly increased their power these times. Their dog Basileus even just declared that it will regain its former territories of Egypt and Africa, which he estimated that they are legitimately rumi; Qu'Allah nous accorde sa miséricorde ! Les Roumi ont singulièrement accru leur puissance ces derniers temps. Leur chien de Basileus vient même de déclarer qu'il va reconquérir ses anciens territoires d'Egypte et d'Afrique, qu'il estime légitimement roumi.;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_121314;War approach !; La guerre approche !;;;;;;;;;x;;;;;;;;;;;
aquit_fr;Integrate the lands of Aquitaine into the Frankish Kingdom;Intégrer l'Aquitaine dans le royaume des Francs;;;;;;;x;;;;;;;;;;;;;
aquit_fr_desc;Since Charles Martel and Pepin the Short integrated the duchy of Aquitaine into the Pippinid realm, it was the tradition to give the title of 'King of Aquitaine' to the heir of the Frankish Kingdom, in order to be accepted by the subjects of the Franks living south of the Loire. But now, theses populations recognise themselves as a part of the Regnum Francorum, and it is time to acknowledge this new fact;Depuis que Charles Martel & Pépin le Bref rattachèrent le duché d'Aquitaine au domaine pépinide, il fut d'avis de donner le titre de roi des Aquitains à l'héritier du roi des Francs, afin de mieux s'attacher les populations de ces régions. Cependant, ces derniers temps, les populations de l'Aquitaine ont compris qu'elles pouvaient se reconnaître dans le Rex Francorum. Il est donc temps de prendre acte de ce nouveau fait;;;;;;;x;;;;;;;;;;;;;
reclamer_bretduc;Ask the duke of Brittany to become our vassal;Demander la vassalisation du duc de Bretagne;;;;;x;;;;;;;;;;;;;;;
reclamer_bretduc_desc;Many frankish kings tried to pacify these rebellious bretons. Even if many of theirs dukes and kings pledged allegiance to our predecessors, they always managed to gain independance while the kingdom was in trouble. It is now time to bring back the dukedom into the frankish kingdom by reclaiming his vassalisation.;Nombreux furent les souverains francs qui tentèrent de réduire ces insupportables bretons. Même si beaucoup de leurs ducs et rois se proclamèrent vassaux de nos prédécesseurs, ils profitèrent de nos difficultés pour rompre le lien vassalique. Il est désormais temps de ramener le duc de Bretagne à la raison en lui exigeant de devenir notre vassal ;;;;;x;;;;;;;;;;;;;;;
EVTNAME_RIRSEI_131415;The Frankish king demands that we become his vassal !;Le roi des Francs exige notre vassalisation !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_131415;Bloody Hell ! The frankish king demand that we become his vassal. We actually bowed before theirs kings more than once, though we always managed to keep a certain independance. What should we do then ?; Malédiction ! Le suzerain des Francs exige que nous devenions son vassal. Certes, nous avons autrefois plié le genou devant quelques-uns de leurs prédécesseurs, mais nous avons toujours su garder une certaine indépendance : que faisons-nous ? ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_131415;The wisest move is to accept his demand. But Brittany is not meant to be rule by franks...;Courbons l'échine pour cette fois...;;;;;;;;;x;;;;;;;;;;;
EVTOPTB_RIRSEI_131415;We refuse to submit to the Franks !;Nous refusons ces courbettes devant les Francs !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_151617;The duke of Brittany becomes our vassal !; Le duc de Bretagne devient notre vassal !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_151617;The duke of Brittany accepted our lawful demand and is once more our vassal, losing his independence. It is a great victory for our power, though he remains quite powerful and certainly hostile to us...; Le duc de Bretagne a accepté de prêter serment et d'abandonner ses prétentions à l'indépendance. Certes, il est puissant dans ses états, mais c'est une grande victoire pour notre pouvoir ! ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_151617;A great success !; Gloire à nous !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_161718;The duke rejects our demand !; Le duc de Bretagne refuse !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_161718;Cursed be these bretons ! The duke rejected our generous offer, it is now time to claim by war what is lawfully ours !; Ce maudit chef des Bretons a refusé de devenir notre vassal ! Fort bien, il est temps de s'emparer par la force de ce territoire ! ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_161718;So war it is !; Guerre !;;;;;;;;;x;;;;;;;;;;;
reclamer_bretroy;Ask the king of Brittany to become our vassal; Demander la vassalisation du roi de Bretagne;;;;;x;;;;;;;;;;;;;;;
reclamer_bretroy_desc;Many frankish kings tried to pacify these rebellious bretons. Even if many of theirs dukes and kings pledged allegiance to our predecessors, they always managed to gain independance while the kingdom was in trouble. It is now time to bring back the dukedom into the frankish kingdom by reclaiming his vassalisation.;Nombreux furent les souverains francs qui tentèrent de réduire ces insupportables bretons. Même si beaucoup de leurs ducs et rois se proclamèrent vassaux de nos prédécesseurs, ils profitèrent de nos difficultés pour rompre le lien vassalique. Il est désormais temps de ramener le roi de Bretagne à la raison en lui exigeant de devenir notre vassal ;;;;;x;;;;;;;;;;;;;;;
EVTNAME_RIRSEI_141516;The Frankish king demands that we become his vassal !;Le roi des Francs exige notre vassalisation !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_141516;Bloody Hell ! The frankish king demand that we become his vassal. We actually bowed before theirs kings more than once, though we always managed to keep a certain independance. What should we do then ?; Malédiction ! Le suzerain des Francs exige que nous devenons son vassal. Certes, nous avons autrefois plié le genou devant quelques-uns de leurs prédécesseurs, mais nous avons toujours su garder une certaine indépendance : que faisons-nous ? ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_141516;The wisest move is to accept his demand. But Brittany is not meant to be rule by franks...;Courbons l'échine pour cette fois...;;;;;;;;;x;;;;;;;;;;;
EVTOPTB_RIRSEI_141516;I am KING OF THE BRETONS !;Je suis ROI DES BRETONS !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_181920;The King of Brittany becomes our vassal !; Le Roi de Bretagne devient notre vassal !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_181920;The King of Brittany accepted our lawful demand and is once more our vassal, losing his independence. It is a great victory for our power, though he remains quite powerful and certainly hostile to us...; Le Roi de Bretagne a accepté de prêter serment et d'abandonner sa couronne royale tout comme ses prétentions à l'indépendance. Certes, il est puissant dans ses états, mais c'est une grande victoire pour notre pouvoir ! ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_181920;A great success !; Gloire à nous !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_192021;The King rejects our demand !; Le Roi de Bretagne refuse !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_192021;Cursed be these bretons ! This petty king rejected our generous offer, it is now time to claim by war what is lawfully ours ! ;Maudit soit ce ridicule roitelet breton ! Il a rejeté notre offre de vassalité ! Il est temps de s'emparer par la force de ce territoire !;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_192021;So war it is !; Guerre !;;;;;;;;;x;;;;;;;;;;;
form_the_hre;Reform the Western Roman Empire;Reformer l'Empire romain d'Occident;Errichtet das Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x;;;;;;;;
form_the_hre_desc;The Western Roman Empire has fallen once more ! After it restauration by Carolus Magnus, it was ruled by poor kings and slowly faded into obscurity, to an extent that the Pope refused to crown another man who was only 'Emperor' by name. But if we manage to strengthen our states and recreate the great Roman Empire of Charlemagne, the Pope just might acknowledge our power and recognize us as emperor, for the greater good of christianity !; L'Empire romain d'Occident est à nouveau tombé ! Hélas, les descendants de Charlemagne n'eurent pas les épaules de leur illustre ancêtre et ils laissèrent l'Empire sombrer dans la médiocrité, de telle sorte que le Saint-Père refusa de couronner un nouveau empereur de pacotille. Mais si nous réussissons à fortifier nos états et à s'emparer des titres les plus importants du feu empire romain de Charlemagne, nous pourrons peut-être restaurer l'Empire pour le plus grand bien de la chrétienté;Errichtet as Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_212223;The Pope refuses to crown anther emperor !; Le Pape refuse de couronner un nouvel empereur !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_212223;"Sad day for the christian world.... The Pope refused to crown the last king of the Romans, pretender to the imperial title. The Holy Father pointed out that the realm of the king encompasses only a small part of the old Roman Empire of Carolus Magnus, and that the kingdom once called ""Imperium Romanum"" doesn't deserve to be called like this nowadays. The christian world now loses his temporal guide. We have to consider if it is really bad news..."; C'est un jour funeste pour le monde chrétien, car le Pape a refusé de couronner le dernier roi des Romains, prétendant au titre impérial. Le Saint-Père a mis en avant que l'Empereur ne régnait que sur une petite partie de feu l'Empire romain de Charlemagne et qu'il était ridicule de continuer à sanctionner la plaisanterie qu'est devenu l'Imperium Romanum. Le monde chrétien a donc perdu son chef temporel ! A nous de voir si c'est une bonne ou une mauvaise nouvelle ! ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_212223;Let's be careful with this...; Restons prudents !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_222324;The Western Roman Empire rises once again !; L'Empire romain d'Occident est refondé !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_222324;Joyous news for all the christian world ! The Pope saw in the power of [From.GetTitledFirstName] a sign from God himself, and crowned him as the new Western Roman Emperor ! [From.GetTitledFirstName] is the new temporal guide of all the catholics !; Jour de gloire pour toute la chrétienté ! Le Pape a vu dans l'ampleur de la puissance de [From.GetTitledFirstName] un signe de Dieu, et il a décidé d'accepter sa demande de devenir Empereur romain d'Occident. Il est désormais le nouveau chef temporel du monde catholique !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_222324;Emperor or not, I am still the one commanding in my demesne.;" "Empereur" ou pas, je reste seigneur dans mon domaine...";;;;;;;;;x;;;;;;;;;;;
EVTOPTB_RIRSEI_222324;God blesses the Empire !; Que Dieu bénisse l'Empire !;;;;;;;;;x;;;;;;;;;;;
pretention_fr_carol;Pretend to the Frankish crown;Prétendre à la couronne franque;;;;;;;x;;;;;;;;;;;;;
pretention_fr_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, is sitting on the Frankish throne ! The realm shall acknowlege our rightful claim on it.;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône de Regnum Franciae ! Montrons au royaume nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
pretention_ehre_carol;Pretend to the Roman crown;Prétendre à la couronne romaine;;;;;;;x;;;;;;;;;;;;;
pretention_ehre_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, took the imperial crown away from its lawful owners ! The imperials lords shall accept our rightful claim on the imperial throne;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône impérial ! Montrons à l'Empire nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
pretention_germ_carol;Pretend to the German crown;Prétendre à la couronne de Germanie;;;;;;;x;;;;;;;;;;;;;
pretention_germ_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, is sitting on the German throne ! The realm shall acknowlege our rightful claim on it.;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône de Germanie ! Montrons au royaume nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
pretention_ita_carol;Pretend to the Italian crown;Prétendre à la couronne d'Italie;;;;;;;x;;;;;;;;;;;;;
pretention_ita_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, gained the Italian crown ! Italians lord shall accept our lawful claim.;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône d'Italie ! Montrons au royaume nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
pretention_loth_carol;Pretend to the kingdom of Lotharingia;Prétendre à la couronne de Lotharingie;;;;;;;x;;;;;;;;;;;;;
pretention_loth_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, was crowned king of Lotharingia ! We shall show the world our claim on it.;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône d'Aix la Chapelle ! Montrons au royaume nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
pretention_bourg_carol;Pretend to the kingdom of Burgundy;Prétendre à la couronne de Bourgogne;;;;;;;x;;;;;;;;;;;;;
pretention_bourg_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, has been recognized king of Burgundy ! We are the rightful king of Burgundy, and the kingdom shall acknowledge this.;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône d'Arles ! Montrons au royaume nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
pretention_aqui_carol;Pretend to the crown of Aquitaine;Prétendre à la couronne d'Aquitaine;;;;;;;x;;;;;;;;;;;;;
pretention_aqui_carol_desc;An usurper, who does not have the blood of Carolus Magnus flowing in his veins, seized the crown of Aquitaine for himself ! We shall show the kingdom our lawful claim.;Un usurpateur qui n'a pas en lui le sang de Charlemagne est sur le trône d'Aquitaine ! Montrons au royaume nos légitimes revendications !;;;;;;;x;;;;;;;;;;;;;
royaume_baviere;Reform the kingdom of Bavaria;Reformer le royaume de Bavière;;;;;x;;;; ;;;;;;;;;;;
